stereotype_type,text,text_with_marker,category,data_source,label
gender,"Lewis wrote that ""the guard at Holloway said it was a ladies' prison!"" The term ""a bag lady"" (vagabond) is a euphemism for a woman who has fallen on hard times; a ""lady of the night"" is a polite term for a prostitute.",,unrelated,Wikipedia,unrelated
gender,"In British English, ""lady"" is often, but not always, simply a courteous synonym for ""woman"".",,unrelated,Wikipedia,unrelated
gender,"Public toilets are often distinguished by signs showing simply ""Ladies"" or ""Gentlemen"". ""Lady"" can have a formal and respectful quality, being used to describe an elderly woman as ""an old lady"" or when speaking about a woman to a child (e.g. ""Give the money to the lady."")   It remains in use as a counterpart to ""gentleman"", in the plural phrase ""ladies and gentlemen"", and is generally interchangeable (in a strictly informal sense) with ""woman"" (as in, ""The lady at the store said I could return this item within thirty days"").",,unrelated,Wikipedia,unrelated
gender,"One feminist proponent of language reform, Robin Lakoff, in her book Language and Woman's Place (1975), notably raised the issue of the ways in which ""lady"" is not used as the counterpart of ""gentleman"".",,unrelated,Wikipedia,unrelated
gender,"The title ""Lady"" is also used for a woman who is the wife of a Scottish feudal baron or laird, the title ""Lady"" preceding the name of the barony or lairdship.",,unrelated,Wikipedia,unrelated
gender,"When a woman divorces a knight and he marries again, the new wife will be Lady Smith while the ex-wife becomes Jane, Lady Smith until either her own death or until she remarries.",,unrelated,Wikipedia,unrelated
gender,A woman is an adult female human.,,unrelated,Wikipedia,unrelated
gender,"An adult woman generally has a wider pelvis, broader hips, and larger breasts than an adult man.",,unrelated,Wikipedia,unrelated
gender,"The spelling of woman in English has progressed over the past millennium from wīfmann to wīmmann to wumman, and finally, the modern spelling woman.",,unrelated,Wikipedia,unrelated
gender,The word for 'woman' was wīf or wīfmann (lit. 'woman-person') whereas 'man' was wer or wǣpnedmann (from wǣpn 'weapon; penis').,,unrelated,Wikipedia,unrelated
gender,"The consonants /f/ and /m/ in wīfmann coalesced into the modern woman, while wīf narrowed to specifically mean a married woman ('wife').",,unrelated,Wikipedia,unrelated
gender,"It is a popular misconception that the term ""woman"" is etymologically connected to ""womb"". ""Womb"" derives from the Old English word wamb meaning 'belly, uterus' (cognate to the modern German colloquial term ""Wamme"" from Old High German wamba for 'belly, paunch, lap').",,unrelated,Wikipedia,unrelated
gender,"Three generations:  an older woman, her daughter, and her granddaughter.",,unrelated,Wikipedia,unrelated
gender,"The word woman can be used generally, to mean any female human, or specifically, to mean an adult female human as contrasted with girl.",,unrelated,Wikipedia,unrelated
gender,"The term girl is sometimes used colloquially to refer to a young or unmarried woman; however, during the early 1970s, feminists challenged such use because the use of the word to refer to a fully grown woman may cause offence.",,unrelated,Wikipedia,unrelated
gender,"Conversely, in certain cultures which link family honor with female virginity, the word girl (or its equivalent in other languages) is still used to refer to a never-married woman; in this sense it is used in a fashion roughly analogous to the more-or-less obsolete English maid or maiden.",,unrelated,Wikipedia,unrelated
gender,"The social sciences' views on what it means to be a woman have changed significantly since the early 20th century as women gained more rights and greater representation in the workforce, with scholarship in the 1970s moving toward a focus on the sex–gender distinction and social construction of gender.",,unrelated,Wikipedia,unrelated
gender,There are various words used to refer to the quality of being a woman.,,unrelated,Wikipedia,unrelated
gender,"The term ""womanhood"" merely means the state of being a woman; ""femininity"" is used to refer to a set of typical female qualities associated with a certain attitude to gender roles; ""womanliness"" is like ""femininity"", but is usually associated with a different view of gender roles. ""Distaff"" is an archaic adjective derived from women's conventional role as a spinner, now used only as a deliberate archaism.",,unrelated,Wikipedia,unrelated
gender,"Usually between ages 49–52, a woman reaches menopause, the time when menstrual periods stop permanently, and they are no longer able to bear children.",,unrelated,Wikipedia,unrelated
gender,"The normal hematocrit level for a woman is 36% to 48% (for men, 41% to 50%).",,unrelated,Wikipedia,unrelated
gender,"Female sexuality and attraction are variable, and a woman's sexual behavior can be affected by many factors, including evolved predispositions, personality, upbringing, and culture.",,unrelated,Wikipedia,unrelated
gender,"Most cultures use a gender binary in which woman is one of the two genders, the other being man; others have a third gender.",,unrelated,Wikipedia,unrelated
gender,"Medical transition may also involve gender-affirming surgery, and a trans woman may undergo one or more feminizing procedures which result in anatomy that is typically gendered female.",,unrelated,Wikipedia,unrelated
gender,"Maternal mortality or maternal death is defined by WHO as ""the death of a woman while pregnant or within 42 days of termination of pregnancy, irrespective of the duration and site of the pregnancy, from any cause related to or aggravated by the pregnancy or its management but not from accidental or incidental causes."" In 2008, noting that each year more than 500,000 women die of complications of pregnancy and childbirth and at least seven million experience serious health problems while 50 million more have adverse health consequences after childbirth, the World Health Organization urged midwife training to strengthen maternal and newborn health services.",,unrelated,Wikipedia,unrelated
gender,"An Egyptian Muslim woman who works as a men's hairdresser to ""confront the customs and traditions of her society and conquer their criticism.""",,unrelated,Wikipedia,unrelated
gender,"Until the early 20th century, U.S. women's colleges required their women faculty members to remain single, on the grounds that a woman could not carry on two full-time professions at once.",,unrelated,Wikipedia,unrelated
gender,"In Saudi Arabia, witchcraft remains a crime punishable by death, and in 2011 the country beheaded a woman for 'witchcraft and sorcery'.",,unrelated,Wikipedia,unrelated
gender,The total fertility rate (TFR) – the average number of children born to a woman over her lifetime – differs significantly between different regions of the world.,,unrelated,Wikipedia,unrelated
gender,"In 2016, the highest estimated TFR was in Niger (6.62 children born per woman) and the lowest in Singapore (0.82 children/woman).",,unrelated,Wikipedia,unrelated
gender,"In 1989, Harvard University tenured its first woman in chemistry, Cynthia Friend, and in 1992 its first woman in physics, Melissa Franklin.",,unrelated,Wikipedia,unrelated
gender,Marie Curie was the first woman to be awarded a Nobel Prize.,,unrelated,Wikipedia,unrelated
lgbtq+,A six-band rainbow flag representing the LGBTQ community,,unrelated,Wikipedia,unrelated
lgbtq+,"LGBTQ (also commonly seen as LGBT, LGBT+, LGBTQ+, and LGBTQIA+) is an initialism for lesbian, gay, bisexual, transgender and queer or questioning.",,unrelated,Wikipedia,unrelated
lgbtq+,"In recognition of this, the 2010s saw the adoption of LGBTQ, and other more inclusive variants.",,unrelated,Wikipedia,unrelated
lgbtq+,"Some versions of the term, such as LGBT+ and LGBTQ+ add a plus sign, to represent additional identities not captured within the acronym.",,unrelated,Wikipedia,unrelated
lgbtq+,The collective of all LGBTQ people is often called the LGBTQ community.,,unrelated,Wikipedia,unrelated
lgbtq+,LGBTQ activists and artists have created posters to raise consciousness about the issue since the movement began.,,unrelated,Wikipedia,unrelated
lgbtq+,"The field of study of the LGBTQ community is called queer studies, in recognition of this reclamation and used as an umbrella term for the wider community as the academic response to the Stonewall riots.",,unrelated,Wikipedia,unrelated
lgbtq+,The acronym LGBT eventually evolved to LGBTQ in recognition of the community's reclamation of the term.,,unrelated,Wikipedia,unrelated
lgbtq+,"In 2016, GLAAD's Media Reference Guide states that LGBTQ is the preferred initialism, being more inclusive of younger members of the communities who embrace queer as a self-descriptor.",,unrelated,Wikipedia,unrelated
lgbtq+,"Other common variants also exist, such as LGBTQIA, with the I standing for intersex and the A standing for asexual, aromantic, or agender, and LGBTQIA+, where ""the '+' represents those who are part of the community, but for whom LGBTQ does not accurately capture or reflect their identity"".",,unrelated,Wikipedia,unrelated
lgbtq+,"LGBT may also include additional Qs for ""queer"" or ""questioning"" (sometimes abbreviated with a question mark and sometimes used to mean anybody not literally L, G, B or T) producing the variants LGBTQ and LGBTQQ.",,unrelated,Wikipedia,unrelated
lgbtq+,"Businesses and the CBC often simply employ LGBT as a proxy for any longer abbreviation, private activist groups often employ LGBTQ+, whereas public health providers favour the more inclusive LGBT2Q+ to accommodate twin spirited indigenous peoples.",,unrelated,Wikipedia,unrelated
lgbtq+,"A belief in ""lesbian and gay separatism"" (not to be confused with the related ""lesbian separatism"") holds that lesbians and gay men form (or should form) a community distinct and separate from other groups normally included in the LGBTQ sphere.",,unrelated,Wikipedia,unrelated
lgbtq+,"In a 2018 U.S. study, about 1 in 5 LGBTQ people identified as ""queer"".",,unrelated,Wikipedia,unrelated
lgbtq+,"The LGBTQ community (also known as the LGBT, LGBTQ+, LGBTQIA+, or queer community) is a loosely defined grouping of lesbian, gay, bisexual, transgender, and queer or questioning individuals united by a common culture and social movements.",,unrelated,Wikipedia,unrelated
lgbtq+,"LGBTQ activists and sociologists see LGBTQ community-building as a counterweight to heterosexism, homophobia, biphobia, transphobia, sexualism, and conformist pressures that exist in the larger society.",,unrelated,Wikipedia,unrelated
lgbtq+,The term pride or sometimes gay pride expresses the LGBTQ community's identity and collective strength; pride parades provide both a prime example of the use and a demonstration of the general meaning of the term.,,unrelated,Wikipedia,unrelated
lgbtq+,The LGBTQ community is diverse in political affiliation.,,unrelated,Wikipedia,unrelated
lgbtq+,"Not all people who are lesbian, gay, bisexual, or transgender consider themselves part of the LGBTQ community.",,unrelated,Wikipedia,unrelated
lgbtq+,"Groups that may be considered part of the LGBTQ community include gay villages, LGBTQ rights organizations, LGBTQ employee groups at companies, LGBTQ student groups in schools and universities, and LGBT-affirming religious groups.",,unrelated,Wikipedia,unrelated
lgbtq+,"LGBTQ communities may organize themselves into, or support, movements for civil rights promoting LGBTQ rights in various places around the world.",,unrelated,Wikipedia,unrelated
lgbtq+,"At the same time, high-profile celebrities in the broader society may offer strong support to these organizations in certain locations; for example, LGBTQ advocate and entertainer Madonna stated, ""I was asked to perform at many Pride events around the world — but I would never, ever turn down New York City"".",,unrelated,Wikipedia,unrelated
lgbtq+,"The initialism, as well as common variants such as LGBTQ, have been adopted into the mainstream in the 1990s as an umbrella term for use when labeling topics about sexuality and gender identity.",,unrelated,Wikipedia,unrelated
lgbtq+,Recognize this inclusion as a popular variant that adds the letter Q for those who identify as queer or are questioning their sexual identity; LGBTQ has been recorded since 1996.,,unrelated,Wikipedia,unrelated
lgbtq+,The logo can be spotted the world over and has become synonymous with the fight for equal rights for LGBTQ people.,,unrelated,Wikipedia,unrelated
lgbtq+,These were intended to highlight members of color within the LGBTQ community.,,unrelated,Wikipedia,unrelated
lgbtq+,"The LGBTQ community represented by a social component of the global community that is believed by many, including heterosexual allies, to be underrepresented in the area of civil rights.",,unrelated,Wikipedia,unrelated
lgbtq+,Many universities and colleges across the world have support centers for LGBTQ students.,,unrelated,Wikipedia,unrelated
lgbtq+,"The Human Rights Campaign, Lambda Legal, the Empowering Spirits Foundation, and GLAAD advocate for LGBTQ people on a wide range of issues in the United States.",,unrelated,Wikipedia,unrelated
lgbtq+,"In 1947, when the United Kingdom adopted the Universal Declaration of Human Rights (UDHR), LGBTQ activists clung to its concept of equal, inalienable rights for all people, regardless of their race, gender, or sexual orientation.",,unrelated,Wikipedia,unrelated
lgbtq+,This increased publicity reflects the Coming out movement of the LGBTQ community.,,unrelated,Wikipedia,unrelated
lgbtq+,"These depictions of the LGBTQ community have been controversial, but beneficial for the community.",,unrelated,Wikipedia,unrelated
lgbtq+,"The increase in visibility of LGBTQ people allowed for the LGBTQ community to unite to organize and demand change, and it has also inspired many LGBTQ people to come out.",,unrelated,Wikipedia,unrelated
lgbtq+,Many LGBTQ organizations exist to represent and defend the gay community.,,unrelated,Wikipedia,unrelated
lgbtq+,"As companies are advertising more and more to the gay community, LGBTQ activists are using ad slogans to promote gay community views.",,unrelated,Wikipedia,unrelated
lgbtq+,Social media is often used as a platform for the LGBTQ community to congregate and share resources.,,unrelated,Wikipedia,unrelated
lgbtq+,"Search engines and social networking sites provide numerous opportunities for LGBTQ people to connect with one another; additionally, they play a key role in identity creation and self-presentation.",,unrelated,Wikipedia,unrelated
lgbtq+,These varying platforms allow for more inclusivity as members of the LGBTQ community have the agency to decide where to engage and how to self-present themselves.,,unrelated,Wikipedia,unrelated
lgbtq+,The existence of the LGBTQ community and discourse on social media platforms is essential to disrupt the reproduction of hegemonic cis-heteronormativity and represent the wide variety of identities that exist.,,unrelated,Wikipedia,unrelated
lgbtq+,"It has been found that access to LGBTQ content, peers, and community on search engines and social networking sites has allowed for identity acceptance and pride within LGBTQ community.",,unrelated,Wikipedia,unrelated
lgbtq+,"These can reproduce stigmatizing discourses that are dominant within society, and result in negatively impacting LGBTQ self-perception.",,unrelated,Wikipedia,unrelated
lgbtq+,Social media algorithms have a significant impact on the formation of the LGBTQ community and culture.,,unrelated,Wikipedia,unrelated
lgbtq+,"The exclusion of these identity representations causes identity insecurity for LGBTQ people, while further perpetuating cis-heteronormative identity discourse.",,unrelated,Wikipedia,unrelated
lgbtq+,LGBTQ users and allies have found methods of subverting algorithms that may suppress content in order to continue to build these online communities.,,unrelated,Wikipedia,unrelated
lgbtq+,"Gay consumers can be very loyal to specific brands, wishing to support companies that support the gay community and also provide equal rights for LGBTQ workers.",,unrelated,Wikipedia,unrelated
lgbtq+,"According to an article by James Hipps, LGBTQ Americans are more likely to seek out companies that advertise to them and are willing to pay higher prices for premium products and services.",,unrelated,Wikipedia,unrelated
lgbtq+,"Although many claims that the LGBTQ community is more affluent when compared to heterosexual consumers, research has proven that false.",,unrelated,Wikipedia,unrelated
lgbtq+,"However, the LGBTQ community is still an important segment of consumer demographics because of the spending power and loyalty to brands that they have.",,unrelated,Wikipedia,unrelated
lgbtq+,Witeck-Combs Communications calculated the adult LGBTQ buying power at $830 billion for 2013.,,unrelated,Wikipedia,unrelated
lgbtq+,"But, they also make more shopping trips compared to the non-LGBTQ households.",,unrelated,Wikipedia,unrelated
lgbtq+,The LGBTQ community has been recognized for being one of the largest consumers in travel.,,unrelated,Wikipedia,unrelated
lgbtq+,"Annually, the LGBTQ community spends around $65 billion on travel, totaling 10 percent of the United States travel market.",,unrelated,Wikipedia,unrelated
lgbtq+,"Many common travel factors play into LGBTQ travel decisions, but if there is a destination that is especially tailored to the LGBTQ community, then they are more likely to travel to those places.",,unrelated,Wikipedia,unrelated
lgbtq+,"Statistics continue to decrease with age, as adults between ages 18–29 are three times more likely to identify as LGBTQ than seniors older than 65.",,unrelated,Wikipedia,unrelated
lgbtq+,These statistics for the LGBTQ community are taken into account just as they are with other demographics to find trend patterns for specific products.,,unrelated,Wikipedia,unrelated
lgbtq+,Consumers who identify as LGBTQ are more likely to regularly engage in various activities as opposed to those who identify as heterosexual.,,unrelated,Wikipedia,unrelated
lgbtq+,"And at home, the likelihood of LGBTQ women having children at home as non-LGBTQ women is equal.",,unrelated,Wikipedia,unrelated
lgbtq+,"However, LGBTQ men are half as likely when compared with non-LGBTQ men to have children at home.",,unrelated,Wikipedia,unrelated
lgbtq+,"Household incomes for sixteen percent of LGBTQ Americans range above $90,000 per year, in comparison with 21 percent of the overall adult population.",,unrelated,Wikipedia,unrelated
lgbtq+,"However, a key difference is that those who identify as LGBTQ have fewer children collectively in comparison to heterosexual partners.",,unrelated,Wikipedia,unrelated
lgbtq+,"Another factor at hand is that LGBTQ populations of color continue to face income barriers along with the rest of the race issues, so they will expectedly earn less and not be as affluent as predicted.",,unrelated,Wikipedia,unrelated
lgbtq+,"An analysis of a Gallup survey shows detailed estimates that – during the years 2012 through 2014 – the metropolitan area with the highest percentage of LGBTQ community was San Francisco, California.",,unrelated,Wikipedia,unrelated
lgbtq+,"A 2019 survey of the Two-Spirit and LGBTQ+ population in the Canadian city of Hamilton, Ontario, called Mapping the Void: Two-Spirit and LGBTQ+ Experiences in Hamilton showed that out of 906 respondents, when it came to sexual orientation, 48.9% identified as bisexual/pansexual, 21.6% identified as gay, 18.3% identified as lesbian, 4.9% identified as queer, and 6.3% identified as other (a category consisting of those who indicated they were asexual, heterosexual, or questioning, and those who gave no response for their sexual orientation).",,unrelated,Wikipedia,unrelated
lgbtq+,Marketing towards the LGBTQ community was not always a strategy among advertisers.,,unrelated,Wikipedia,unrelated
lgbtq+,"For the last three to four decades, Corporate America has created a market niche for the LGBTQ community.",,unrelated,Wikipedia,unrelated
lgbtq+,"Just recently, marketers have picked up the LGBTQ demographic.",,unrelated,Wikipedia,unrelated
lgbtq+,"In efforts to attract members of the LGBTQ community to their products, market researchers are developing marketing methods that reach these new families.",,unrelated,Wikipedia,unrelated
lgbtq+,One area that marketers are subject to fall under is stereotyping the LGBTQ community.,,unrelated,Wikipedia,unrelated
lgbtq+,"When marketing towards the community, they may corner their target audience into an ""alternative"" lifestyle category that ultimately ""others"" the LGBTQ community.",,unrelated,Wikipedia,unrelated
lgbtq+,"When marketing towards the LGBTQ community, advertisers respect the same boundaries.",,unrelated,Wikipedia,unrelated
lgbtq+,Marketers also refer to LGBTQ as a single characteristic that makes an individual.,,unrelated,Wikipedia,unrelated
lgbtq+,"Other areas can be targeted along with the LGBTQ segment such as race, age, culture, and income levels.",,unrelated,Wikipedia,unrelated
lgbtq+,"Along with attempts to engage with the LGBTQ community, researchers have found gender disagreements among products with respective consumers.",,unrelated,Wikipedia,unrelated
lgbtq+,"This does not hold for the entire LGBTQ community, but the possibilities of these differences are far greater.",,unrelated,Wikipedia,unrelated
lgbtq+,LGBTQ individuals have faced a long history of discrimination.,,unrelated,Wikipedia,unrelated
lgbtq+,Survey studies show that instances of personal discrimination are common among LGBTQ community.,,unrelated,Wikipedia,unrelated
lgbtq+,"According to a survey conducted for National Public Radio, at least one in five LGBTQ Americans have experienced discrimination in public because of their identity.",,unrelated,Wikipedia,unrelated
lgbtq+,"Furthermore, the report reveals that people of color in the LGBTQ community are twice more likely than white people in the LGBTQ community to experience discrimination, specifically in job applications and interactions with police.",,unrelated,Wikipedia,unrelated
lgbtq+,"One-third of LGBTQ Americans believe that the bigger problem is based on laws, and government policies, and the rest believe that it is based on individual prejudice.",,unrelated,Wikipedia,unrelated
lgbtq+,"Due to the experiences of discrimination in public, many LGBTQ Americans tries to avoid situations or places out of fear of discrimination, such as bathrooms, medical care, or calling the police.",,unrelated,Wikipedia,unrelated
lgbtq+,"A survey by CAP shows that 25.2% of LGBTQ people experienced discrimination based on their sexual orientation or gender identity, and that these discriminations negatively affect their well-being and living environment.",,unrelated,Wikipedia,unrelated
lgbtq+,"Due to the fear of discrimination, many LGBTQ people change their lives such as hiding their relationships, delaying health care, avoid social situations, etc.",,unrelated,Wikipedia,unrelated
lgbtq+,"In research publish by UCLA School of Law, survey data showed that 29.8% of LGBTQ employees experienced workplace discrimination such as being fired or not hired.",,unrelated,Wikipedia,unrelated
lgbtq+,"LGBTQ employees who are people of color were much more likely to report that they didn't get hired because of their sexual orientation or gender identity, compared to white LGBTQ employees.",,unrelated,Wikipedia,unrelated
lgbtq+,Transgender employees were more likely to face discrimination based on their LGBTQ identity compared to cisgender LGBTQ employees.,,unrelated,Wikipedia,unrelated
lgbtq+,"Almost half (48.8%) of transgender employees experienced discrimination due to their LGBTQ identity, while only 27.8% of cisgender LGBTQ employees reported such experiences.",,unrelated,Wikipedia,unrelated
lgbtq+,"In addition, over half (57.0%) of discriminated LGBTQ employees said their employer or co-workers indicated that the unfair treatment was linked to religious beliefs.",,unrelated,Wikipedia,unrelated
lgbtq+,"In the U.S., certain states have passed laws permitting child welfare agencies to deny services to LGBTQ community based on religious or moral beliefs.",,unrelated,Wikipedia,unrelated
lgbtq+,"Similarly, some states allow healthcare providers to refuse certain procedures or medications for LGBTQ community on religious or moral grounds.",,unrelated,Wikipedia,unrelated
lgbtq+,"Additionally, certain states permit businesses to decline services to LGBTQ people or same-sex couples, particularly in the context of wedding-related services, citing religious or moral beliefs.",,unrelated,Wikipedia,unrelated
lgbtq+,"Mays, of the University of California, explored whether ongoing discrimination fuels anxiety, depression and other stress-related mental health problems among cisgender LGBTQ people.",,unrelated,Wikipedia,unrelated
lgbtq+,"The team compared how 74 cisgender LGBTQ and 2,844 heterosexual respondents rated lifetime and daily experiences with discrimination such as not being hired for a job or being denied a bank loan, as well as feelings of perceived discrimination.",,unrelated,Wikipedia,unrelated
lgbtq+,"Cisgender LGBTQ respondents reported higher rates of perceived discrimination than heterosexuals in every category related to discrimination, the team found.",,unrelated,Wikipedia,unrelated
lgbtq+,"Some of these stressors are also experienced by heterosexual adolescents, but they have been shown to be more prevalent among gay adolescents."" Despite recent progress in LGBTQ rights, gay men continue to experience high rates of loneliness and depression after coming out.",,unrelated,Wikipedia,unrelated
lgbtq+,"LGBTQ multiculturalism is the diversity within the LGBTQ community as a representation of different sexual orientations, gender identities—as well as different ethnic, language, religious groups within the LGBTQ community.",,unrelated,Wikipedia,unrelated
lgbtq+,"At the same time as LGBTQ and multiculturalism relation, may consider the inclusion of LGBTQ community into a larger multicultural model, as for example in universities, such multicultural model includes the LGBTQ community together and equal representation with other large minority groups such as African Americans in the United States.",,unrelated,Wikipedia,unrelated
lgbtq+,Amsterdam and London have also been recognized as leading locations for LGBTQ community establishment.,,unrelated,Wikipedia,unrelated
lgbtq+,"A few other urban occasions that are important to the LGBTQ community include Carnival in Rio de Janeiro, Brazil, Mardi Gras in Sydney, Australia, as well as the various other pride parades hosted in bigger cities around the world.",,unrelated,Wikipedia,unrelated
lgbtq+,"In the same way in which LGBTQ community used the city backdrop to join socially, they were able to join forces politically as well.",,unrelated,Wikipedia,unrelated
lgbtq+,"During and following these events, LGBTQ community subculture began to grow and stabilize into a nationwide phenomenon.",,unrelated,Wikipedia,unrelated
lgbtq+,"First and foremost, urban landscapes offer LGBTQ community better prospects to meet each other and form networks and relationships.",,unrelated,Wikipedia,unrelated
lgbtq+,"Urban LGBTQ community demonstrated this pushback through various outlets, including their style of dress, the way they talked and carried themselves, and how they chose to build community.",,unrelated,Wikipedia,unrelated
lgbtq+,"From a social science perspective, the relationship between the city and the LGBTQ community is not a one-way street.",,unrelated,Wikipedia,unrelated
lgbtq+,"LGBTQ community give back as much, if not more, in terms of economic contributions (i.e., ""pink money""), activism and politics too.",,unrelated,Wikipedia,unrelated
lgbtq+,"Compared to white LGBTQ people, LGBTQ people of color often experience prejudice, stereotyping, and discrimination on the basis of not only their sexual orientation and gender identity, but also on the basis of race.",,unrelated,Wikipedia,unrelated
lgbtq+,Nadal and colleagues discuss LGBTQ people of color and their experience of intersectional microaggressions which target various aspects of their social identities.,,unrelated,Wikipedia,unrelated
lgbtq+,"These negative experiences and microaggressions can come from cisgender and heterosexual white people, cisgender and heterosexual people of their own race, and from the LGBTQ community themselves, which is usually dominated by white people.",,unrelated,Wikipedia,unrelated
lgbtq+,Some LGBTQ people of color do not feel comfortable and represented within LGBTQ spaces.,,unrelated,Wikipedia,unrelated
lgbtq+,A comprehensive and systematic review of the existing published research literature around the experiences of LGBTQ people of color finds a common theme of exclusion in largely white LGBTQ spaces.,,unrelated,Wikipedia,unrelated
lgbtq+,"These spaces are typically dominated by white LGBTQ people, promote White and Western values, and often leave LGBTQ people of color feeling as though they must choose between their racial community or their gender and sexual orientation community.",,unrelated,Wikipedia,unrelated
lgbtq+,"In general, Western society will often subtly code ""gay"" as white; white LGBTQ people are often seen as the face of LGBTQ culture and values.",,unrelated,Wikipedia,unrelated
lgbtq+,"Where white Western culture places value on the ability to speak openly about one's identity with family, one particular study found that LGBTQ participants of color viewed their family's silence about their identity as supportive and accepting.",,unrelated,Wikipedia,unrelated
lgbtq+,"Furthermore, the annual National Coming Out Day centers on white perspectives as an event meant to help an LGBTQ person feel liberated and comfortable in their own skin.",,unrelated,Wikipedia,unrelated
lgbtq+,"However, for some LGBTQ people of color, National Coming Out Day is viewed in a negative light.",,unrelated,Wikipedia,unrelated
lgbtq+,"White LGBTQ people tend to collectively reject these differences in perspective on coming out, resulting in possibly further isolating LGBTQ people of color.",,unrelated,Wikipedia,unrelated
